Source,Date (local),Time (local),Latitude,Longitude,Depth,Magn. (Ml),Epicenter error (km),Depth error (km),Intensity
Correa-Otto,20151119,14:44:52.0,-38.66,-68.98,3.2,4.5,4,6,12 km to the SE of Sauzal Bonito. V Sauzal Bonito.  III a IV close to the epicenter. 21 km E of Plaza Huincul 
Vazquez et al. & @RedGeoChile,20151119,15:35:55.0,-38.688,-69.021,6.8,1.4,20,20,12 km to the SE of Sauzal Bonito. 
Vazquez et al. & @RedGeoChile,20151119,16:52:07.0,-38.696,-69.039,14.9,1.3,20,20,12 km to the SSE of Sauzal Bonito. 
Vazquez et al. & @RedGeoChile,20170925,22:04:30.0,-38.287,-68.43,12.5,4.4,20,20,32 km to the E of Anhelo. III-IV Anhelo. III Mari Menuco. II Rincon of los Sauces.  III close to the epicenter.
Vazquez et al. & @RedGeoChile,20180531,11:12:03.0,-38.719,-68.999,6.2,3.5,20,20,16 km to the SE of Sauzal Bonito. IV Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20180603,06:11:27.0,-38.552,-69.239,7.4,3.1,20,20,13 km to the ONO of Sauzal Bonito. IV Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20180604,14:53:03.0,-38.753,-68.941,5.9,3.1,20,20,22 km to the SE of Sauzal Bonito. II Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20181116,00:05:24.0,-38.629,-69.023,10.5,4.3,20,20,8 km to the ESE of Sauzal Bonito. V-VI Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20181220,06:06:41.0,-38.53,-69.303,11.2,3.3,20,20,9 km to the E of Paso of los Indios. 
Vazquez et al. & @RedGeoChile,20181231,13:14:47.0,-38.591,-69.519,7.3,2.7,20,20,11 km to the SO of Paso of los Indios. 
Vazquez et al. & @RedGeoChile,20190103,12:13:02.0,-38.6,-69.528,6.6,2.7,20,20,13 km to the SO of Paso of los Indios. 
Vazquez et al. & @RedGeoChile,20190109,14:55:34,-38.72,-69.016,7.5,4,20,20,15 km SSE of  Sauzal Bonito. V Sauzal Bonito
Vazquez et al. & @RedGeoChile,20190114,21:21:33.0,-38.553,-69.789,8.6,2,20,20,4 km to the NO of Covunco Abajo. Perhaps III en Covunco Abajo. 
INPRES conf. 02,20190122,23:28:03.6,-38.2,-69.41,15,2.1,10.5,10.5,
INPRES conf. 02,20190123,00:22:30.2,-38.504,-69.184,10,2.1,7.8,7.8,
INPRES conf. 02,20190123,01:56:57.9,-38.483,-69.18,9,2.4,7.9,7.9,
INPRES conf. 02,20190123,05:43:54.4,-38.499,-69.173,12.4,2.4,8.2,8.2,
INPRES conf. 02,20190123,06:06:30.0,-38.468,-69.095,6,2,5.3,5.3,
INPRES conf. 02,20190123,06:55:34.3,-38.371,-69.487,21,2.3,6.4,6.4,
INPRES conf. 02,20190123,07:22:09.7,-38.643,-69.145,17,2.3,4.3,4.3,
INPRES conf. 02,20190123,09:04:18.1,-38.467,-69.096,8.6,2.7,7.1,8.1,
Vazquez et al. & @RedGeoChile,20190123,09:04:25.0,-38.624,-69.33,6.7,2.7,20,20,13 km to the SE of Paso of los Indios. III Sauzal Bonito 
INPRES conf. 02,20190123,13:00:21.3,-38.514,-69.404,10,2.3,6.8,6.8,
INPRES conf. 02,20190123,13:03:18.1,-38.545,-69.198,9,2.3,6.1,6.1,
INPRES conf. 02,20190123,13:49:29.4,-38.548,-69.158,13,2.5,12.9,12.9,
Vazquez et al. & @RedGeoChile,20190123,15:15:27.0,-38.597,-69.287,7.6,2.7,20,20,13 km to the SE of Paso of los Indios. II-III Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20190123,21:51:29.0,-38.638,-69.305,8.2,2.7,20,20,15 km to the SE of Paso of los Indios. III Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20190123,21:56:01.0,-38.648,-69.23,6.3,2.8,20,20,12 km to the OSO of Sauzal Bonito. III Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20190123,23:01:19.0,-38.667,-69.219,5.2,2.9,20,20,12 km to the OSO of Sauzal Bonito. III Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20190124,04:10:59.0,-38.574,-69.308,5.9,2.8,20,20,10 km to the ESE of Paso of los Indios. III Sauzal Bonito 
INPRES web,20190124,05:51:20.0,-38.696,-69.397,9,3.4,20,20,
Vazquez et al. & @RedGeoChile,20190202,04:32:02.0,-38.693,-69.161,9.1,3.2,20,20,11 km to the SSO of Sauzal Bonito. III Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20190206,00:58:00.0,-38.658,-69.12,13.5,2.2,20,20,6 km to the S of Sauzal Bonito. III Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20190206,18:13:47.0,-38.654,-69.166,10.5,2.2,20,20,8 km to the SO of Sauzal Bonito. III Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20190210,00:03:55,-38.451,-68.911,12.3,3.8,20,20,15 km al SO de Anhelo. III-IV Anhelo, III Sauzal Bonito
Vazquez et al. & @RedGeoChile,20190211,22:58:38.0,-38.723,-69.144,8.4,2.6,20,20,14 km to the SSO of Sauzal Bonito. II-III Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20190219,17:50:46,-38.666,-69.226,11.1,3.2,20,20,13 km al OSO de Sauzal Bonito. IV Sauzal Bonito
Vazquez et al. & @RedGeoChile,20190224,13:43:33.0,-38.641,-69.205,10.1,3.3,20,20,10 km to the OSO of Sauzal Bonito. IV Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20190228,22:04:04.0,-38.603,-69.399,9.6,3,20,20,8 km to the S of Paso of los Indios. IV Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20190305,16:50:52.0,-38.608,-69.313,4.9,2.5,20,20,12 km to the SE of Paso of los Indios. II Sauzal Bonito 
Tamburini et al.,20190307,02:10:34.1,-38.5691,-68.9982,1.2,5,0.5,0.5,20 km to the ENE of Sauzal Bonito. V-VI Sauzal Bonito. V Anhelo. III Cutral Co 
Vazquez et al. & @RedGeoChile,20190307,02:51:11.0,-38.721,-68.96,8.2,3,20,20,18 km to the SE of Sauzal Bonito. III Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20190307,03:22:03.0,-38.648,-69.13,9.1,2.9,20,20,6 km to the SSO of Sauzal Bonito. III Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20190310,11:18:10.0,-38.718,-69.311,10.4,2.2,20,20,22 km to the SO of Sauzal Bonito. II Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20190310,15:09:47.0,-38.675,-69.322,9.9,2.4,20,20,18 km to the SSE of Paso of los Indios. II Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20190311,05:39:27.0,-38.691,-69.659,10.9,2,20,20,15 km to the SE of Covunco Abajo. 
Vazquez et al. & @RedGeoChile,20190315,04:11:24.0,-38.393,-68.944,10.6,2.8,20,20,15 km to the OSO of Anhelo. II Anhelo 
Vazquez et al. & @RedGeoChile,20190327,07:29:49.0,-38.605,-69.194,11.3,2,20,20,8 km to the O of Sauzal Bonito. III Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20190501,02:43:22.0,-38.732,-69.164,11.1,2.4,20,20,15 km to the SSO of Sauzal Bonito. II-III Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20190510,10:32:32.0,-38.664,-69.084,5.1,2,20,20,7 km to the SSE of Sauzal Bonito. III Sauzal Bonito 
Vazquez et al. & @RedGeoChile,20190511,18:55:01.0,-38.618,-69.21,8.5,2.1,20,20,9 km to the O of Sauzal Bonito. III Sauzal Bonito 
INPRES conf. 02,20190521,01:31:45.7,-38.757,-69.188,1.1,2.4,7,10.8,
INPRES conf. 02,20190619,02:23:43.1,-38.41,-69.018,5.5,2,9,10.2,
INPRES conf. 02,20190630,04:11:50.4,-38.328,-69.006,15,2.8,6,6.6,
INPRES conf. 02,20190630,07:53:03.6,-38.632,-69.164,3.5,0.9,6.2,6.2,
INPRES conf. 02,20190630,08:13:26.1,-38.638,-69.169,1.8,1.6,5.2,5.2,
INPRES conf. 02,20190630,13:10:45.2,-38.642,-69.158,4.6,2.7,10.4,10.4,
INPRES conf. 02,20190702,15:55:23.4,-38.346,-68.983,15,2.5,5.9,5.9,
INPRES conf. 02,20190703,01:48:56.6,-38.639,-69.203,1.1,1.8,4.8,4.8,
INPRES conf. 02,20190703,01:51:31.4,-38.647,-69.194,2.4,2,3.8,3.8,
INPRES conf. 02,20190710,06:33:18.9,-38.505,-69.208,1.4,1.6,6.9,6.9,
INPRES conf. 02,20190710,06:48:29.7,-38.626,-69.175,8.2,2.5,4.2,4.2,
INPRES conf. 02,20190712,22:15:07.6,-38.647,-69.191,3,1.9,22.6,22.6,
Vazquez et al. & @RedGeoChile,20190712,22:44:53.0,-38.512,-69.223,10.5,1.3,20,20,14 km to the NO of Sauzal Bonito. 
INPRES conf. 02,20190719,01:15:50.7,-38.512,-69.187,8.5,2.1,5.4,5.4,
INPRES conf. 02,20190731,00:50:27.0,-38.605,-68.983,6.5,2.7,7.6,7.6,
Vazquez et al. & @RedGeoChile,20190802,20:14:18.0,-38.676,-68.998,5,2.2,20,20,12 km to the SE of Sauzal Bonito. 
INPRES conf. 02,20190808,16:15:34.6,-38.686,-69.134,3.5,2.8,7.4,7.4,
Vazquez et al. & @RedGeoChile,20190808,22:08:30.0,-38.691,-69.217,4.3,1.8,20,20,14 km to the SO of Sauzal Bonito. 
INPRES conf. 02,20190808,22:51:30.5,-38.683,-69.156,3,2.4,10.2,10.2,
INPRES conf. 02,20190812,08:30:53.1,-38.487,-69.1,6.4,2.1,15,15,
Vazquez et al. & @RedGeoChile,20190812,08:51:19.0,-38.716,-68.979,6.2,1.6,20,20,17 km to the SE of Sauzal Bonito. 
INPRES conf. 02,20190813,01:36:09.0,-38.669,-69.023,3,1.9,2.7,2.7,
INPRES conf. 02,20190813,03:04:57.1,-38.707,-69.135,9,1.6,4.3,4.3,
INPRES conf. 02,20190813,04:13:50.4,-38.741,-69.051,3,2.6,6.9,6.9,
INPRES conf. 02,20190814,23:15:08.2,-38.526,-68.799,6.1,3,6.2,6.3,
INPRES web,20190814,23:44:52.0,-38.526,-68.799,6,3,20,20,
INPRES conf. 02,20190816,06:44:34.5,-38.665,-69.061,3,2.5,6,6,
INPRES conf. 02,20190816,06:45:03.5,-38.66,-69.029,3,2.6,3.8,3.8,
INPRES conf. 02,20190820,21:14:17.3,-38.543,-68.857,4,2.5,10.7,10.7,
INPRES web,20190820,21:45:43.0,-38.543,-68.857,4,2.5,20,20,
INPRES conf. 02,20190822,03:07:14.3,-38.38,-69.034,3.5,2.5,7.3,7.3,
INPRES conf. 02,20190823,00:52:51.6,-38.512,-68.902,2.5,2.3,7.4,7.4,
INPRES conf. 01,20190825,18:00:44.9,-38.43,-68.991,7.5,1.9,20,20,
INPRES conf. 02,20190830,00:48:19.4,-38.401,-69.036,4.5,2.5,10.2,10.2,
INPRES conf. 02,20190830,02:40:09.6,-38.476,-68.818,20,2.7,8.9,8.9,
INPRES conf. 02,20190901,08:37:37.6,-38.524,-68.766,4,2.7,4.4,4.4,
INPRES conf. 02,20190903,17:23:50.4,-38.681,-69.067,3.5,3,5.4,5.4,
INPRES conf. 02,20190906,00:29:47.5,-38.621,-69.206,3,3,3.5,3.5,
INPRES conf. 02,20190907,03:30:58.2,-38.432,-68.994,3.6,2.7,2.5,2.5,
Vazquez et al. & @RedGeoChile,20190914,13:23:38,-38.12,-69.633,17.5,3.5,20,20,28 km al NE de Quili Malal. II Bajada del Agrio
Vazquez et al. & @RedGeoChile,20190919,09:29:22,-38.121,-69.652,12.8,3.6,20,20,27 km al NE de Quili Malal. II Bajada del Agrio
INPRES web,20190920,21:47:36.0,-38.52,-68.701,6,2.6,20,20,
INPRES conf. 02,20190922,21:12:26.3,-38.577,-68.635,10.1,2.6,6.2,6.2,
INPRES conf. 02,20190924,08:54:01.7,-38.573,-69.133,4,0.8,5.1,5.1,
INPRES conf. 02,20190930,10:45:33.6,-38.668,-69.149,4,2.2,19.5,19.5,
INPRES conf. 02,20191002,02:08:57.6,-38.647,-69.147,3,1.6,10.2,10.2,
INPRES conf. 01,20191005,02:28:39.1,-38.592,-68.737,7.5,1.9,20,20,
Vazquez et al. & @RedGeoChile,20191012,20:22:54,-38.52,-68.862,12,3.9,20,20,19 km al SSO de Anhelo. III-IV Anhelo, Sauzal Bonito
INPRES conf. 02,20191015,12:57:42.1,-38.656,-69.148,3,2.1,15,15,
INPRES conf. 02,20191028,01:08:35.1,-38.646,-68.991,3.2,1.5,4,4,
INPRES conf. 02,20191103,07:43:19.1,-38.671,-69.197,2.3,1.6,27.3,27.3,
INPRES conf. 02,20191103,23:07:44.8,-38.735,-69.135,3,3.8,8.7,8.7,
Vazquez et al. & @RedGeoChile,20191103,23:52:11,-38.754,-69.08,6.5,3.8,20,20,17 km al S de Sauzal Bonito. IV Sauzal Bonito. II Cutral Co
INPRES conf. 02,20191104,00:00:05.7,-38.666,-69.056,3.5,3,4,4,
INPRES conf. 02,20191112,21:10:03.6,-38.703,-68.931,5.1,3.5,5.6,7.2,
Vazquez et al. & @RedGeoChile,20191112,21:49:58,-38.761,-69.101,3.3,3.8,20,20,18 km al S de Sauzal Bonito. III-IV Sauzal Bonito. II-III Cutral Co
INPRES conf. 02,20191205,19:43:04.9,-38.537,-68.978,1.1,2.1,5.8,5.8,
INPRES conf. 02,20191214,08:37:22.7,-38.717,-69.114,2,1.6,3.1,3.1,
Vazquez et al. & @RedGeoChile,20191215,11:53:42,-38.096,-68.664,6.3,3.9,20,20,31 km al NNE de Anhelo. II-III Anhelo
Vazquez et al. & @RedGeoChile,20191216,01:52:14.0,-38.069,-68.838,6.7,2.5,20,20,32 km to the N of Anhelo. 
Vazquez et al. & @RedGeoChile,20191218,16:00:03,-38.105,-68.705,5.8,3.6,20,20,29 km al N de Anhelo. II Anhelo
INPRES web,20191220,18:18:32.0,-38.254,-68.394,4,3.2,20,20,
INPRES web,20191221,08:13:12.0,-38.268,-68.558,6,2.5,20,20,
INPRES web,20191221,08:55:59.0,-38.179,-68.598,5,2.5,20,20,
INPRES conf. 02,20191224,00:10:43.3,-38.278,-68.395,7.7,2.9,7.8,7.8,
INPRES conf. 01,20191227,05:51:07.3,-38.208,-68.652,7.5,1.9,20,20,
INPRES conf. 02,20200102,13:35:30.5,-38.264,-68.386,10.7,3.7,6.7,6.7,
INPRES web,20200127,20:01:27.0,-38.18,-68.484,6,3.1,20,20,
INPRES web,20200203,13:57:05.0,-38.244,-68.524,3,3,20,20,
INPRES web,20200204,16:00:44.0,-38.126,-68.568,4,3.2,20,20,
INPRES web,20200216,15:11:26.0,-38.329,-68.445,7,3.3,20,20,
INPRES conf. 01,20200302,14:16:07.3,-38.674,-68.924,7.5,1.9,20,20,
INPRES web,20200404,01:02:20.0,-38.272,-68.887,4,3,20,20,II a III - Anhelo 
Vazquez et al. & @RedGeoChile,20200409,01:01:15.0,-38.65,-69.199,4.5,2.1,20,20,10 km to the OSO of Sauzal Bonito. II Sauzal Bonito 
INPRES conf. 01,20200505,09:13:00.4,-38.67,-69.005,7.5,1.9,20,20,
INPRES web,20200513,14:19:20.0,-38.313,-68.471,5,2.8,20,20,
INPRES web,20200526,11:12:23.0,-38.607,-68.99,4,3.1,20,20,III - Sauzal Bonito 
INPRES web,20200527,19:07:58.0,-38.585,-69.001,3,2.7,20,20,
INPRES conf. 01,20200528,00:57:24.7,-38.556,-69.061,7.5,1.9,20,20,
INPRES conf. 01,20200528,05:06:35.2,-38.548,-69.075,7.5,1.9,20,20,
INPRES web,20200601,00:47:34.0,-38.247,-68.962,3,3.1,20,20,
INPRES conf. 01,20200602,17:21:43.1,-38.542,-68.998,7.5,1.9,20,20,
INPRES web,20200602,18:17:05.0,-38.133,-69.107,5,2.7,20,20,
INPRES web,20200602,18:17:06.0,-38.251,-69.123,5,3,20,20,
Vazquez et al. & @RedGeoChile,20200602,20:14:06.0,-38.293,-68.689,4.5,2.6,20,20,11 km to the NE of Anhelo. 
INPRES web,20200602,20:49:16.0,-38.284,-69.097,6,2.9,20,20,
INPRES conf. 01,20200602,20:53:03.4,-38.268,-68.88,7.5,1.9,20,20,
INPRES web,20200602,21:41:48.0,-38.206,-68.933,3,2.5,20,20,
INPRES web,20200603,00:24:29.0,-38.223,-68.767,5,2.5,20,20,
INPRES web,20200603,05:21:55.0,-38.199,-68.935,6,3.5,20,20,III - Anhelo II a III - Sauzal Bonito
Vazquez et al. & @RedGeoChile,20200603,05:35:42.0,-38.219,-69.091,10.9,2.2,20,20,30 km to the ONO of Anhelo. 
INPRES conf. 01,20200603,05:46:20.5,-38.266,-68.827,7.5,1.9,20,20,
Vazquez et al. & @RedGeoChile,20200603,07:17:56.0,-38.181,-68.909,4.4,2.4,20,20,22 km to the NNO of Anhelo. 
INPRES web,20200603,12:42:36.0,-38.253,-68.817,7,2.6,20,20,
Vazquez et al. & @RedGeoChile Tab,20200603,18:17:07.0,-38.222,-68.753,6.9,3.5,20,20,15 km to the N of Anhelo. III-IV Anhelo. 
INPRES web,20200603,22:10:48.0,-38.271,-68.908,4,2.6,20,20,
Vazquez et al. & @RedGeoChile,20200603,22:27:46.0,-38.264,-68.917,6.6,2.5,20,20,15 km to the NO of Anhelo. 
INPRES web,20200604,05:15:18.0,-38.265,-68.662,6,2.7,20,20,
INPRES web,20200604,08:47:42.0,-38.242,-68.774,4,2.6,20,20,II a III - Anhelo 
INPRES web,20200605,03:48:46.0,-38.229,-68.595,5,2.9,20,20,
Vazquez et al. & @RedGeoChile Tab,20200605,04:00:55.0,-38.1194,-69.0371,2.1,2.8,20,20,34 km to the NO of Anhelo. 
INPRES web,20200605,07:37:56.0,-38.224,-69.006,3,2.7,20,20,
INPRES web,20200605,08:25:14.0,-38.151,-68.938,4,2.8,20,20,
INPRES web,20200606,04:00:22.0,-38.549,-68.502,4,3.8,20,20,III a IV - Anhelo III - Sauzal Bonito
INPRES web,20200608,03:55:00.0,-38.177,-68.995,5,2.5,20,20,
Vazquez et al. & @RedGeoChile,20200608,04:00:55.0,-38.119,-69.037,2.1,2.8,20,20,34 km to the NO of Anhelo. 
INPRES web,20200630,11:46:19.0,-38.266,-68.532,4,3.7,20,20,
INPRES conf. 01,20200702,18:51:30.4,-38.601,-69.078,7.5,1.9,20,20,
INPRES web,20200706,22:04:45.0,-37.477,-69.43,4,3.3,20,20,II a III - Rincon of los Sauces 
INPRES web,20200923,16:08:19.0,-38.317,-68.575,5,3.1,20,20,
INPRES web,20200923,22:41:21.0,-38.188,-68.764,4,2.5,20,20,
INPRES web,20200924,16:35:31.0,-38.307,-68.531,7,3.7,20,20,III a IV - Anhelo III - Sauzal Bonito
INPRES web,20201011,08:10:44.0,-38.821,-69.214,9,3.4,20,20,
Vazquez et al. & @RedGeoChile,20201027,13:32:25.0,-38.561,-68.935,11.3,4.3,20,20,16 km to the ENE of Sauzal Bonito. IV-V Sauzal Bonito. III-IV Anhelo 
Vazquez et al. & @RedGeoChile,20201123,04:54:38.0,-38.208,-68.682,6.7,3,20,20,19 km to the NE of Anhelo. III Yacimiento Medano of la Mora 
Vazquez et al. & @RedGeoChile,20201124,05:49:25.0,-38.186,-68.624,7.2,3.5,20,20,23 km to the NE of Anhelo. III-IV Yacimiento Medano of la Mora 
INPRES conf. 01,20201127,05:16:51.5,-38.503,-69.034,7.5,1.9,20,20,
INPRES web,20201127,08:34:20.0,-38.432,-69.083,3,2.5,20,20,
